1000;0
2000;0
4000;1
8000;1
16000;3
32000;5
64000;11
128000;21
256000;43
512000;97
1024000;194
2048000;363
4096000;766
8192000;1519
16384000;3101
32768000;6292
65536000;12915
131072000;26486
262144000;54059
